,eval/trades_per_episode,eval/mean_portfolio,best_eval/trades_per_episode,best_eval/std_portfolio,best_eval/std_reward,eval/std_portfolio,Explainability/Feature_Saliency,best_eval/mean_portfolio,eval/std_reward,best_eval/mean_reward,eval/mean_reward,global_step,_step,_timestamp,_runtime
0,,,,,,,"{'size': 74212, 'height': 600, 'width': 1000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/Explainability/Feature_Saliency_0_b2504c8e46890590c56f.png', 'sha256': 'b2504c8e46890590c56f3489c1fa4c2a73bf79371bfe5c87ebc0b7ea00486c14'}",,,,,,0,1765235502.4869447,107.405911955
1,,,,,,,"{'path': 'media/images/Explainability/Feature_Saliency_1_910f737f171f4bff360a.png', 'sha256': '910f737f171f4bff360a649f557e4fea9c69f9cafc82f81a48a398ad0437341b', 'size': 73074, 'height': 600, 'width': 1000, '_type': 'image-file', 'format': 'png'}",,,,,,1,1765235597.4216273,202.300530469
2,,,,,,,"{'height': 600, 'width': 1000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/Explainability/Feature_Saliency_2_7110ab54f1c11586c702.png', 'sha256': '7110ab54f1c11586c70235750044b21c79269ab96be999bc3e565034b6ef77bb', 'size': 75604}",,,,,,2,1765235691.176386,296.055307788
3,,,,,,,"{'path': 'media/images/Explainability/Feature_Saliency_3_7ff458148defb7692d4a.png', 'sha256': '7ff458148defb7692d4ab91ade9f01c6312f54a456342f991e509ff32fc3e7e5', 'size': 72651, 'height': 600, 'width': 1000, '_type': 'image-file', 'format': 'png'}",,,,,,3,1765235783.8425715,388.721488326
4,,,,,,,"{'_type': 'image-file', 'format': 'png', 'path': 'media/images/Explainability/Feature_Saliency_4_c49b801b57ac1d742d7b.png', 'sha256': 'c49b801b57ac1d742d7b49f3495274056125d0a818ee39f67d956b9743df697c', 'size': 75594, 'height': 600, 'width': 1000}",,,,,,4,1765235875.6577175,480.536578695
5,,,,,,,"{'width': 1000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/Explainability/Feature_Saliency_5_1e74e533a74d0880b49c.png', 'sha256': '1e74e533a74d0880b49c03470c0c388614bd183a2c587c4d8709a0d0a9feb01b', 'size': 69660, 'height': 600}",,,,,,5,1765235966.7119396,571.590832842
6,,,,,,,"{'height': 600, 'width': 1000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/Explainability/Feature_Saliency_6_bca624b1c12b86f3173b.png', 'sha256': 'bca624b1c12b86f3173b8d18d76930416e5263645d5039a24218b21ae3c21dd2', 'size': 76150}",,,,,,6,1765236061.7495637,666.628447524
7,7940.4,10493.526255086135,,,,322.39272754463815,,,2967.5165994127146,,-7356.501494227498,,7,1765236433.9331713,267.53490786
8,,,,322.39272754463815,2967.5165994127146,,,10493.526255086135,,-7356.501494227498,,,8,1765236434.1157758,267.717567902
9,,,,,,,"{'path': 'media/images/Explainability/Feature_Saliency_443208_319d6b05351cbae6f005.png', 'sha256': '319d6b05351cbae6f00597640e934a918ef1903d97c5d7c9607b0e2cec34e997', 'size': 71712, 'height': 600, 'width': 1000, '_type': 'image-file', 'format': 'png'}",,,,,,9,1765236434.7678885,268.412058529
